ハゼ,,,,,,,,,,,1,1,,,,,,
ハゼノキ,,,1,,,,,,,,,1,,,,,,
ハゼラン,,,,,,,,,,,,,,,,1,,
ハタガヤ,,,,,,,,,,,,,,,1,,,
ハタケニラ,,,,,,,,,,,,,,,,1,,
ハタザオ,,,,,,,,,,,,1,,,,,,
ハダカホオズキ,,,,,,,,,,1,,,,,,,,
ハチク,,,,,,,,,,1,,,,,,,,
ハチジョウシダモドキ,,,,,,,,,,1,1,,,,,,,
ハチジョウススキ,,,1,,,,,,,,1,,,,,,,
ハッカ,,,,,,,,,,,,1,,,,,,
ハナイカダ,,,,,,1,1,,,1,,,,,,,,
ハナイバナ,,,,,,,,,,,,,,,,1,,
ハナウド,1,1,1,,,,,,,1,,,,,,,,
ハナウリクサ,,,,,,,,,,,,1,,,,,,
ハナカタバミ,,,,,,,,,,,1,,,,,,,
ハナカンナ,,,,,,,,,,,,1,,,,,,
ハナショウブ,,,,,,,,,,,,1,,,,,,
ハナゼキショウ,,,,,,,,,,,,,1,,,,,
ハナゾノツクバネウツギ,,,,,,,,,,1,,,,,,,,
ハナタデ,,,,,,1,1,,,1,,,,,,,,
ハナツクバネウツギ,,,,,,,,,,,,1,,,,,,
ハナトラノオ,,,,,,,,,,,1,1,,,,,,
ハナニガナ,,,,,,,,,,,,,,,,1,,
ハナニラ,,,,,,,,,,,,1,,,,,,
ハナヌカススキ,,,,,,,,,,,,1,,,,,,
ハナハマセンブリ,,,,,,,,,,,1,1,,,,,,
ハナヒリノキ,,,,,,,,,,1,,,1,,,,,
ハナビゼキショウ,,,,,,1,1,,,,,,,,,,,
ハナビゼリ,,,,,,,,,,1,,,,,,,,
ハナミョウガ,,,,,,,,,,1,,,1,,,,,
ハナヤエムグラ,,,,,,,,,,,,,,,,,1,
ハナヤクシソウ,,,,,,,,,,,,,1,,,,,
ハナヤスリ属の一種,,,,,,,,,,,,,,,,,,
ハネガヤ,,,,,,,,,,,1,,,,,,,
ハネミイヌエンジュ,1,1,1,,,1,1,,,1,,,,,,,,
ハハコグサ,,,,,,,,,,,1,1,,,,,,
ハバビロスゲ,,,,,,,,,,1,,,1,,,,,
ハバヤマボクチ,,,,,,,,,,,1,,,,,,,
ハブソウ,,,,,,,,,,1,,,,,,,,
ハマアオスゲ,,,,,,,,,,,1,,,,,,,
ハマウド,,,1,,,,,,,,,,,,,,,
ハマエノコロ,,,1,,,,,,,,,,,,,1,,
ハマエンドウ,,,1,,,,,,,,,,,,,1,,
ハマオモト,,,,,,,,,,,,1,,,,,,
ハマガヤ,,,,,,,,,,,1,,,,,,,
ハマクサギ,,,,,,,,,,,,1,,,,,,
ハマクマツヅラ,,,,,,,,,,,1,,,,,1,,
ハマゴウ,,,1,,,,,,,,,,,,,1,,
ハマサオトメカズラ,,,1,,,,,,,,,,,,,,,
ハマスゲ,,,,,,,,,1,,1,,,,,,,
ハマセンダン,,,,,,,,,,,1,1,,,,,,
ハマゼリ,,,1,,,,,,,,,,,,,1,,
ハマダイコン,,,1,,,,,,,,,,,,,1,,
ハマツメクサ,,,1,,,,,,,,,1,,,,,,
ハマナデシコ,,,1,,,,,,,,,,,,,,,
ハマニガナ,,,1,,,,,,,,,,,,1,,,
ハマニンニク,,,1,,,,,,,,,,,,1,,,
ハマハナセンブリ,,,,,,,,,,,,,,,1,,,
ハマヒエガエリ,,,1,,,,,,,,,,,,1,,,
ハマヒルガオ,,,1,,,,,,,,,,,,1,,,
ハマボウフウ,,,,,,,,,,,,,,,1,,,
ハマボッス,,,1,,,,,,,,,,,,,,,
ハラン,,,,,,,,,,,,1,,,,,,
ハリイ,,,,,,1,1,,,,,,,,,,,
ハリエンジュ,,,,,,,,,,,,,,,1,,,
ハリガネワラビ,,,,,,,,,,1,,,,,,,,
ハリギリ,,,,,,,,,,1,,,,,,,,
ハリコウガイゼキショウ,,,,,,1,1,,,,,,,,,,,
ハリビユ,,,,,,,,,,,,,,,,1,,
ハルガヤ,,,,,,,,,,,,,,,,1,,
ハルザキヤマガラシ,,,,,,,,,,,1,,,,,,,
ハルシャギク,,,,,,,,,,,,1,,,,,,
ハルジオン,,,,,,,,,,,,1,,,,,,
ハルジョオン,,,,,,,,,,,1,,,,,,,
ハルタデ,,,,,,,,,,,1,,,,,,,
ハルトラノオ,,,,,,,1,,1,,,,,,,,,
ハルニレ,,,,,,,,,,,1,,,,,,,
ハルノノゲシ,,,,,,,,,1,,,,,,,1,,
ハルユキノシタ,,,,,,,,,,1,,,1,,,,,
ハンゲショウ,,,,,,,,,,,,1,,,,,,
ハンゴンソウ,,,,,,,,,,1,,,1,,,,,
ハンショウヅル,,,,,,,,,,1,,,1,,,,,
ハンノキ,,,,,,,,,,,1,,,,,,,
バイカウツギ,,,,,,,,,,,,,,,,1,,
バイカツツジ,,,,,,,,,,1,,,,,,,,
バクチノキ,,,,,,,,,,,1,,,,,,,
バショウ,,,,,,,,,,,,,,,,,1,
バッコヤナギ,,,,,,,,,,,1,,,,,,,
バライチゴ,,,,,,,,,,1,,,,,,,1,
バリバリノキ,,,,,,,,,,1,,,,,,,,
ヒイラギ,,,,,,,,,,,1,1,,,,,,
ヒイラギナンテン,,,,,,,,,,,1,1,,,,,,
