スジグロシロチョウ,1,,,,,,,,,1,1,,,,,
モンシロチョウ,,1,1,,,,,,1,,1,1,,,1,
ルリシジミ,1,,,,,1,,,,1,1,,,,,
ベニシジミ,,1,1,,,,1,,1,,1,1,,,1,1
モンキチョウ,,1,1,,,,,,1,,1,1,,,,
ヒメウラナミジャノメ,,,,,,,,,,,1,,,,,
ナミアゲハ（アゲハ・アゲハチョウ）,,,,,,,,,,,,1,,,,
ルリタテハ,,,,,,,,,,1,1,1,,,,
ツバメシジミ,1,,,,,,,,,1,,,,,,
ハルゼミ,,,,,,,,,,1,,,,,,
モンキアゲハ,,,,,,,,,,1,,,,,,
テングチョウ,,,,,,,,,,1,,,,,,
ミヤマカラスアゲハ,,,,,,,,,,1,,,,,,
ダイミョウセセリ,,,,,,,,,,1,,,,,,
ミドリヒョウモン,,,,,,,,,1,1,1,,,,,
ヒメジャノメ,,1,1,,,,,,,1,1,,,,,
ツマグロヒョウモン,,,,,,,,,,,1,1,,,1,
ムカシトンボ,,,,,,,,,,1,,,,,,
ムラサキシジミ,,,,,,,,,,1,1,1,,,,
ノシメトンボ,,1,1,1,,1,,,,,,,,,,
ヒメアカタテハ,,1,1,,,,,,1,,1,1,,,1,1
ツマキチョウ,,1,1,,,,,,,1,1,,,,,
マユタテアカネ,,1,1,1,1,1,1,,,1,,,,,,
ヒカゲチョウ,,,,,,,,,,1,,,,,,
ムカシヤンマ,,,,,,,,,,1,,,,,,
ハッチョウトンボ,,,,,,1,,,,,,,,,,
ナガサキアゲハ,,,,,,,,,,1,,,,,,
トラフシジミ,1,,,,,,,,,1,,1,,,,
ナツアカネ,,,,,,1,1,,,,,,,,,
ミヤマセセリ,,,,,,,,,,1,,,,,,
ジャノメチョウ,,,,,,,,,,1,1,,,,1,
ヒオドシチョウ,,,,,,,,,,1,,1,,,,
ヒメキマダラセセリ,,,,,,,,,,1,1,,,,,
ミズイロオナガシジミ,,,,,,,,,,1,,,,,,
スジボソヤマキチョウ,,,,,,,,,,1,,,,,,
ヤマキマダラヒカゲ,,,,,,,,,,1,,,1,,,
チャバネセセリ,,,,,,,,,,1,,,1,,,
メスグロヒョウモン,,,,,,,,,,1,1,,,,,
ヒメギフチョウ,,,,,,,,,,1,,,,,,
ハグロトンボ,,1,,,1,1,,,,1,,,,,,
モノサシトンボ,,,,,,1,,,,1,,,,,,
ヒメキマダラヒカゲ,,,,,,,,,,1,,,,,,
スミナガシ,,,,,,,,,,1,,,,,,
ミスジチョウ,1,,,,,,,,,1,,,,,,
タガメ,,,,,1,1,1,,,,,,,,,
ベニスズメ,,1,1,,,,,,,1,1,,,,1,
ニイニイゼミ,,,,,,,,,,1,,1,,,,
