マメキシタバ,,,,,,,,,,1,,,,,,,
ルーミスシジミ,,,,,,,,,,1,,,,,,,
ベニシタバ,,,,,,,,,,1,,,,,,,
ヨコモンヒメハナカミキリ,,,,,,,,,,1,,,1,,,,
メスアカムラサキ,,,,,,,,,,,,,,,,,1
モンキマメゲンゴロウ,1,1,,,,,,,,,,,,,,,
ベッコウトンボ,,,,,,1,,,,,,,,,,,
ホシヒメホウジャク,,,,,,,,,,1,,,,,,,
ムネアカクロハナカミキリ,,,1,,,,,,,1,,,,,,,
マダラナニワトンボ,,,,,,1,,,,,,,,,,,
フトエリマキヒメハナカミキリ,,,,,,,,,,1,,,1,,,,
ヒゲジロハナカミキリ,,,,,,,,,,1,,,,,,,
ピックニセハムシハナカミキリ,,,,,,,,,,1,,,,,,,
ヤツボシハナカミキリ,,,,,,,,,,1,,,,,,,
マツシタヒメハナカミキリ,,,,,,,,,,1,,,,,,,
ヒサゴスズメ,,,,,,,,,,1,,,,,,,
チビゲンゴロウ,,,,,,1,,,,,,,,,,,
フトオビホソバスズメ,,,,,,,,,,1,,,1,,,,
ワモンキシタバ,,,,,,,,,,1,,,,,,,
セスジスズメ,,,,,,,,,,1,1,,,,,,
ホソハンミョウ,,1,1,,,,,,,,1,,,,,,
ヒョウモンモドキ,,,,,,,,,1,,1,,,,,,
コフキヒメイトトンボ,1,,,,,1,,,,,1,,,,,,
ネブトクワガタ,,,,,,,,,,1,,,,,,,
ツマムラサキマダラ,,,,,,,,,,1,1,,,,,,
ミヤマホソハナカミキリ,,,,,,,,,,1,,,,,,,
ニセフタオビチビハナカミキリ,,,,,,,,,,1,,,1,,,,
ブービエヒメハナカミキリ,,,,,,,,,,1,,,1,,,,
ツブゲンゴロウ,1,1,,,,,,,,,,,,,,,
ヒロオビミドリシジミ,,,,,,,,,,1,,,,,,,
ハラボソトンボ,,,,,1,1,1,,,,,,,,,,
ヒメウスバシロチョウ,,,,,,,,,,1,1,,,,,,
ムラサキシタバ,,,,,,,,,,1,,,,,,,
モモグロハナカミキリ,1,,,,,,,,,1,,,,,,,
ホソガタヒメハナカミキリ,,,,,,,,,,1,,,,,,,
ルリハナカミキリ,,,,,,,,,,1,,,1,,,,
ハネビロハナカミキリ,,,,,,,,,,1,,,,,,,
タイワンカンクン,,,,,,,,,,,,,,,,,1
ベニモンアゲハ,,,,,,,,,,,,,,,,,1
ミスジビロードスズメ,,,,,,,,,,1,,,,,,,
ホソハナカミキリ,,,,,,,,,,1,,,,,,,
ツヤハダクワガタ,,,,,,,,,,1,,,1,,,,
ミナミヤンマ,1,,,,,,,,,1,,,,,,,
ミズスマシ,,1,1,,1,1,,,,,,,,,,,
タテジマホソハナカミキリ,,,,,,,,,,1,,,,,,,
モリチャバネゴキブリ,,,,,,,,,,1,,,,,,,
ミヤマシロチョウ,,,,,,,,,,1,,,1,,,,
リュウキュウベニイトトンボ,,,,,,1,,,,1,,,,,,,
フタスジカタビロハナカミキリ,,,,,,,,,,1,,,,,,,
ニョウホウホソハナカミキリ,,,,,,,,,,1,,,1,,,,
トゲナナフシ,,,,,,,,,,1,,,,,,,
ナベブタムシ,1,,,,,,,,,,,,,,,,
メンガタスズメ,,,,,,,,,1,1,,,,,,,
ヤエヤマムラサキ,1,,,,,,,,,1,,,,,,,
テツイロハナカミキリ,,,,,,,,,,,,,1,,,,
マダラクワガタ,,,,,,,,,,1,,,,,,,
チビハナカミキリ,,,,,,,,,,1,,,,,,,
ムツアカネ,,,,,,1,,,,1,,,,,,,
メガネサナエ,,,1,,,1,,,,,,,,,,,
タイワンキチョウ,1,,,,,,,,,1,1,,,,,,
ヒメミズカマキリ,,1,1,,,1,,,,,,,,,,,
ミヤマルリハナカミキリ,,,,,,,,,,1,1,,,,,,
ヒメクチバスズメ,,,,,,,,,,1,,,,,,,
タイリクショウジョウトンボ,,1,1,,,1,1,,,,,,,,,,
ハラビロハンミョウ,,,1,,,,,,,,,,,,1,,
ヒメサザナミスズメ,,,,,,,,,,1,1,,,,,,
ルリウラナミシジミ,,,,,,,,,,1,1,,,,,,
フリッツェホウジャク,,,,,,,,,,1,,,,,,,
モイワサナエ,1,,,,,,,,,1,,,,,,,
ユウレイセセリ,,,,,,,,,,1,1,,,,1,,
ニッコウヒメハナカミキリ,,,,,,,,,,1,,,,,,,
